spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryo.referenceTracking,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.cores,spark.executor.cores,spark.driver.memory,spark.executor.memory,spark.storage.memoryFraction,spark.storage.unrollFraction,spark.network.timeout,spark.locality.wait,spark.scheduler.revive.interval,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.speculation,spark.broadcast.compress,spark.rdd.compress,spark.serializer,spark.memory.storageFraction,spark.default.parallelism,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.instances,spark.python.worker.memory,spark.python.worker.reuse,spark.rpc.message.maxSize,spark.driver.maxResultSize,spark.driver.memoryOverhead,spark.reducer.maxReqsInFlight,spark.reducer.maxBlocksInFlightPerAddress,spark.maxRemoteBlockSizeFetchToMem,spark.shuffle.io.maxRetries,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.io.preferDirectBufs,spark.shuffle.io.backLog,spark.shuffle.service.index.cache.size,spark.shuffle.maxChunksBeingTransferred,spark.memory.useLegacyMode,spark.storage.replication.proactive,spark.cleaner.periodicGC.interval,spark.cleaner.referenceTracking,spark.cleaner.referenceTracking.blocking,spark.cleaner.referenceTracking.blocking.shuffle,spark.cleaner.referenceTracking.cleanCheckpoints,spark.broadcast.checksum,spark.executor.heartbeatInterval,spark.files.fetchTimeout,spark.files.useFetchCache,spark.files.overwrite,spark.files.maxPartitionBytes,spark.files.openCostInBytes,spark.storage.memoryMapThreshold,spark.hadoop.mapreduce.fileoutputcommitter.algorithm.version,spark.rpc.io.backLog,spark.port.maxRetries,spark.rpc.numRetries,spark.rpc.retry.wait,spark.rpc.lookupTimeout,spark.scheduler.minRegisteredResourcesRatio,spark.scheduler.mode,spark.scheduler.listenerbus.eventqueue.capacity,spark.scheduler.blacklist.unschedulableTaskSetTimeout,spark.task.reaper.enabled,spark.task.reaper.pollingInterval,spark.task.reaper.threadDump,spark.stage.maxConsecutiveAttempts,spark.streaming.backpressure.enabled,spark.streaming.blockInterval,spark.streaming.receiver.writeAheadLog.enable,spark.streaming.unpersist,spark.streaming.stopGracefullyOnShutdown,runtime
425.0,419.0,0.43,136.0,166.0,2.4,0.4,6.0,0.0,92.0,72.0,1.0,16.0,118.0,4.0,8.0,18.0,18.0,0.55,0.47,420.0,1.0,9.0,5.0,0.0,0.58,1.0,1.0,1.0,0.0,0.57,16.0,1.0,626.0,12.0,931.0,0.0,149.0,1004.0,1961.0,5417.0,15282.0,11658.0,8.0,2.0,0.0,120.0,185.0,28681.0,0.0,1.0,76.0,1.0,1.0,0.0,1.0,1.0,6.0,26.0,1.0,1.0,33584326.0,2103976.0,213.0,2.0,78.0,25.0,2.0,2.0,185.0,0.7,0.0,2421.0,222.0,0.0,12.0,1.0,8.0,0.0,180.0,0.0,1.0,1.0,438.477
223.0,325.0,0.65,945.0,337.0,4.18,0.9,60.0,1.0,24.0,186.0,1.0,119.0,69.0,1.0,8.0,8.0,17.0,0.81,0.34,227.0,5.0,7.0,5.0,1.0,0.66,1.0,1.0,0.0,1.0,0.67,340.0,0.0,119.0,9.0,432.0,0.0,350.0,1269.0,955.0,11563.0,28109.0,7729.0,5.0,5.0,1.0,74.0,195.0,7817.0,1.0,0.0,72.0,1.0,1.0,0.0,0.0,1.0,19.0,37.0,0.0,0.0,33554498.0,2107764.0,334.0,2.0,114.0,26.0,3.0,4.0,209.0,0.9,1.0,14790.0,173.0,1.0,3.0,0.0,6.0,0.0,380.0,1.0,0.0,0.0,548.738
28.0,164.0,0.87,525.0,976.0,3.81,0.44,69.0,2.0,75.0,18.0,1.0,40.0,82.0,2.0,9.0,10.0,14.0,0.67,0.58,417.0,10.0,10.0,4.0,1.0,0.57,1.0,1.0,1.0,0.0,0.71,181.0,0.0,778.0,8.0,717.0,1.0,443.0,1853.0,412.0,2246.0,7888.0,25408.0,10.0,3.0,0.0,76.0,189.0,22685.0,0.0,0.0,20.0,0.0,0.0,1.0,1.0,0.0,17.0,33.0,1.0,1.0,33559813.0,2110863.0,338.0,2.0,115.0,25.0,5.0,3.0,71.0,0.9,1.0,17763.0,64.0,1.0,16.0,0.0,7.0,1.0,170.0,0.0,1.0,1.0,367.878
158.0,290.0,0.42,333.0,265.0,4.97,0.69,54.0,0.0,15.0,137.0,1.0,120.0,106.0,10.0,3.0,1.0,14.0,0.91,0.28,134.0,7.0,18.0,7.0,1.0,0.85,1.0,0.0,0.0,0.0,0.82,325.0,0.0,656.0,9.0,669.0,1.0,195.0,1313.0,482.0,13612.0,9196.0,9230.0,8.0,5.0,0.0,28.0,124.0,10815.0,1.0,1.0,26.0,0.0,1.0,0.0,1.0,0.0,7.0,41.0,1.0,1.0,33578742.0,2115084.0,322.0,1.0,44.0,5.0,3.0,4.0,184.0,0.9,1.0,15165.0,73.0,0.0,20.0,0.0,6.0,1.0,61.0,1.0,0.0,0.0,307.671
176.0,110.0,0.0,868.0,596.0,5.21,0.28,62.0,2.0,110.0,52.0,0.0,50.0,51.0,10.0,5.0,4.0,10.0,0.96,0.91,391.0,10.0,36.0,5.0,1.0,0.68,1.0,0.0,1.0,1.0,0.89,81.0,1.0,815.0,12.0,419.0,0.0,392.0,551.0,514.0,6881.0,8397.0,8529.0,2.0,3.0,0.0,94.0,72.0,21317.0,1.0,0.0,90.0,0.0,1.0,0.0,1.0,0.0,17.0,56.0,0.0,1.0,33571414.0,2108851.0,459.0,2.0,92.0,26.0,3.0,1.0,36.0,0.8,0.0,4577.0,74.0,0.0,14.0,1.0,6.0,0.0,195.0,1.0,1.0,0.0,378.285
267.0,47.0,0.36,650.0,42.0,5.29,0.74,94.0,1.0,166.0,72.0,0.0,80.0,20.0,2.0,7.0,11.0,17.0,0.42,0.25,142.0,1.0,13.0,3.0,0.0,0.81,1.0,0.0,0.0,1.0,0.71,447.0,0.0,885.0,13.0,418.0,0.0,251.0,1561.0,858.0,26656.0,13135.0,19276.0,2.0,1.0,1.0,57.0,70.0,15572.0,1.0,0.0,48.0,1.0,0.0,1.0,1.0,1.0,20.0,36.0,0.0,1.0,33560100.0,2112228.0,392.0,1.0,47.0,19.0,3.0,4.0,125.0,0.7,0.0,3884.0,234.0,1.0,16.0,0.0,7.0,0.0,186.0,0.0,1.0,1.0,338.813
36.0,344.0,0.6,321.0,90.0,4.67,0.95,124.0,2.0,198.0,30.0,0.0,16.0,84.0,4.0,10.0,7.0,16.0,0.53,0.86,439.0,7.0,19.0,3.0,0.0,0.65,0.0,0.0,1.0,1.0,0.52,388.0,0.0,932.0,14.0,334.0,0.0,188.0,1728.0,979.0,31312.0,12608.0,30056.0,8.0,5.0,0.0,31.0,125.0,14125.0,1.0,0.0,17.0,1.0,0.0,1.0,1.0,0.0,19.0,40.0,1.0,1.0,33586008.0,2124161.0,307.0,2.0,100.0,9.0,2.0,4.0,67.0,0.7,0.0,6541.0,168.0,0.0,19.0,0.0,5.0,1.0,432.0,1.0,0.0,0.0,364.962
299.0,157.0,0.43,982.0,52.0,4.9,0.52,93.0,2.0,10.0,136.0,1.0,28.0,16.0,8.0,8.0,7.0,14.0,0.71,0.16,254.0,6.0,5.0,4.0,1.0,0.7,0.0,1.0,0.0,1.0,0.74,97.0,0.0,601.0,14.0,432.0,0.0,235.0,1930.0,564.0,8367.0,24754.0,21765.0,10.0,4.0,1.0,114.0,187.0,12996.0,1.0,1.0,40.0,1.0,0.0,0.0,1.0,0.0,9.0,57.0,0.0,0.0,33554523.0,2100940.0,205.0,2.0,69.0,25.0,3.0,2.0,142.0,0.7,1.0,9296.0,69.0,1.0,18.0,1.0,6.0,0.0,403.0,0.0,1.0,0.0,598.387
128.0,272.0,0.89,413.0,719.0,3.87,0.3,95.0,0.0,6.0,61.0,0.0,120.0,30.0,12.0,6.0,8.0,15.0,0.78,0.58,409.0,6.0,22.0,6.0,0.0,0.94,0.0,1.0,0.0,0.0,0.9,244.0,0.0,701.0,14.0,337.0,0.0,460.0,1666.0,620.0,12068.0,30619.0,4375.0,4.0,1.0,0.0,82.0,140.0,18861.0,0.0,0.0,26.0,1.0,1.0,1.0,0.0,1.0,6.0,85.0,1.0,0.0,33571513.0,2110393.0,151.0,1.0,110.0,23.0,3.0,1.0,231.0,0.9,0.0,16218.0,103.0,1.0,5.0,1.0,5.0,1.0,437.0,1.0,0.0,0.0,472.746
160.0,197.0,0.8,476.0,863.0,5.45,0.26,109.0,0.0,237.0,11.0,0.0,95.0,25.0,2.0,1.0,7.0,17.0,0.48,0.49,302.0,8.0,13.0,6.0,0.0,0.51,0.0,0.0,1.0,0.0,0.79,448.0,0.0,498.0,12.0,544.0,1.0,458.0,1315.0,696.0,14826.0,9102.0,21154.0,7.0,1.0,0.0,80.0,133.0,1135.0,0.0,1.0,39.0,1.0,1.0,0.0,1.0,0.0,17.0,88.0,0.0,1.0,33583800.0,2105680.0,415.0,1.0,79.0,8.0,3.0,3.0,92.0,0.7,1.0,17965.0,171.0,1.0,20.0,1.0,7.0,0.0,163.0,1.0,1.0,0.0,587.564
456.0,39.0,0.55,698.0,443.0,4.69,0.53,63.0,0.0,34.0,67.0,1.0,54.0,89.0,10.0,3.0,9.0,16.0,0.59,0.22,343.0,3.0,36.0,6.0,0.0,0.58,1.0,0.0,1.0,0.0,0.79,301.0,1.0,924.0,13.0,600.0,0.0,376.0,743.0,814.0,24348.0,15430.0,6320.0,2.0,4.0,1.0,122.0,123.0,20281.0,1.0,0.0,20.0,1.0,0.0,0.0,1.0,0.0,12.0,57.0,1.0,0.0,33571390.0,2108261.0,155.0,2.0,113.0,18.0,4.0,1.0,121.0,0.9,0.0,13207.0,220.0,1.0,20.0,1.0,4.0,1.0,387.0,0.0,0.0,0.0,393.12
135.0,236.0,0.3,847.0,856.0,4.83,0.41,120.0,1.0,41.0,173.0,1.0,62.0,70.0,5.0,2.0,6.0,11.0,0.88,0.4,269.0,7.0,7.0,7.0,1.0,0.68,0.0,0.0,1.0,1.0,0.84,321.0,0.0,713.0,12.0,381.0,0.0,412.0,957.0,519.0,9639.0,9189.0,19143.0,9.0,3.0,1.0,96.0,144.0,24896.0,0.0,1.0,86.0,1.0,1.0,1.0,1.0,1.0,20.0,28.0,0.0,0.0,33556482.0,2101851.0,265.0,1.0,117.0,27.0,5.0,1.0,167.0,0.9,1.0,4290.0,102.0,1.0,5.0,1.0,8.0,0.0,110.0,1.0,0.0,1.0,530.518
239.0,254.0,0.39,486.0,222.0,2.59,0.6,32.0,0.0,76.0,41.0,0.0,88.0,47.0,1.0,6.0,20.0,18.0,0.89,0.22,242.0,3.0,43.0,5.0,0.0,0.99,0.0,1.0,1.0,0.0,0.99,303.0,0.0,453.0,13.0,540.0,0.0,156.0,500.0,1690.0,7772.0,7193.0,17821.0,3.0,2.0,0.0,12.0,143.0,23117.0,1.0,1.0,68.0,0.0,0.0,1.0,0.0,0.0,8.0,25.0,0.0,0.0,33558853.0,2117524.0,93.0,1.0,49.0,11.0,2.0,5.0,134.0,0.9,1.0,13564.0,221.0,0.0,10.0,1.0,4.0,1.0,404.0,1.0,0.0,0.0,362.308
57.0,55.0,0.4,407.0,953.0,3.95,0.51,67.0,0.0,202.0,183.0,0.0,106.0,12.0,4.0,9.0,14.0,18.0,0.94,0.66,318.0,8.0,8.0,5.0,1.0,0.61,1.0,1.0,1.0,0.0,0.61,107.0,1.0,340.0,14.0,402.0,1.0,500.0,1913.0,483.0,15557.0,30081.0,5319.0,2.0,5.0,0.0,112.0,96.0,4274.0,1.0,0.0,57.0,1.0,1.0,1.0,1.0,1.0,15.0,58.0,0.0,0.0,33566737.0,2119918.0,172.0,1.0,33.0,7.0,2.0,3.0,100.0,0.7,1.0,18197.0,84.0,0.0,15.0,1.0,6.0,0.0,170.0,0.0,0.0,1.0,278.265
241.0,293.0,0.77,241.0,578.0,2.56,0.66,61.0,1.0,86.0,22.0,0.0,118.0,14.0,8.0,3.0,14.0,18.0,0.87,0.22,279.0,9.0,30.0,6.0,1.0,0.71,1.0,1.0,1.0,0.0,0.55,394.0,1.0,978.0,12.0,192.0,1.0,277.0,1792.0,773.0,11341.0,12993.0,16777.0,5.0,5.0,1.0,114.0,163.0,3155.0,0.0,0.0,15.0,1.0,1.0,1.0,1.0,1.0,10.0,83.0,1.0,1.0,33577427.0,2124896.0,431.0,2.0,88.0,31.0,2.0,6.0,97.0,0.9,1.0,9642.0,200.0,1.0,8.0,0.0,5.0,1.0,483.0,1.0,0.0,1.0,301.255
423.0,314.0,0.61,372.0,93.0,2.9,0.9,71.0,0.0,177.0,20.0,1.0,81.0,108.0,1.0,4.0,2.0,15.0,0.92,0.96,331.0,6.0,48.0,8.0,1.0,0.52,0.0,1.0,1.0,0.0,0.56,382.0,0.0,450.0,14.0,953.0,1.0,333.0,1958.0,507.0,15006.0,1353.0,8904.0,10.0,1.0,1.0,104.0,91.0,2478.0,0.0,0.0,89.0,0.0,0.0,0.0,1.0,1.0,13.0,58.0,0.0,0.0,33578380.0,2107649.0,142.0,2.0,122.0,29.0,2.0,6.0,208.0,0.7,0.0,14277.0,79.0,1.0,8.0,1.0,4.0,0.0,435.0,0.0,0.0,1.0,233.237
459.0,87.0,0.95,128.0,579.0,2.75,0.58,89.0,2.0,186.0,246.0,0.0,39.0,111.0,8.0,2.0,14.0,13.0,0.64,0.6,191.0,7.0,39.0,4.0,0.0,0.89,0.0,0.0,1.0,1.0,0.51,19.0,1.0,750.0,13.0,241.0,1.0,128.0,1693.0,555.0,14720.0,10484.0,8335.0,7.0,3.0,1.0,102.0,174.0,18671.0,0.0,0.0,87.0,0.0,0.0,0.0,1.0,0.0,5.0,75.0,1.0,0.0,33574860.0,2103574.0,234.0,1.0,52.0,7.0,4.0,6.0,212.0,0.9,1.0,8953.0,133.0,1.0,17.0,0.0,8.0,0.0,433.0,0.0,0.0,0.0,497.058
185.0,275.0,0.9,109.0,907.0,2.57,0.5,61.0,1.0,131.0,61.0,1.0,70.0,104.0,10.0,1.0,1.0,15.0,0.99,0.9,356.0,6.0,32.0,4.0,1.0,0.83,0.0,0.0,0.0,1.0,0.61,377.0,0.0,101.0,12.0,626.0,0.0,417.0,1881.0,453.0,13565.0,25009.0,18445.0,10.0,5.0,0.0,103.0,107.0,25235.0,0.0,0.0,75.0,1.0,1.0,1.0,1.0,0.0,7.0,32.0,1.0,1.0,33557043.0,2114444.0,341.0,2.0,116.0,25.0,3.0,1.0,65.0,0.7,0.0,6108.0,92.0,1.0,16.0,1.0,8.0,0.0,208.0,1.0,0.0,0.0,268.297
377.0,453.0,0.35,526.0,128.0,4.23,0.53,91.0,1.0,217.0,38.0,0.0,110.0,26.0,11.0,9.0,3.0,15.0,0.87,0.44,434.0,8.0,4.0,8.0,0.0,0.89,1.0,0.0,0.0,0.0,0.63,64.0,1.0,402.0,10.0,418.0,0.0,173.0,712.0,641.0,26607.0,14122.0,16755.0,2.0,1.0,1.0,44.0,149.0,4481.0,0.0,1.0,18.0,0.0,0.0,1.0,0.0,0.0,15.0,55.0,0.0,0.0,33563237.0,2123249.0,139.0,1.0,67.0,19.0,2.0,2.0,178.0,0.7,1.0,7545.0,191.0,0.0,6.0,1.0,7.0,0.0,195.0,1.0,0.0,0.0,290.787
30.0,35.0,0.36,683.0,780.0,3.59,0.8,17.0,1.0,172.0,235.0,0.0,80.0,63.0,5.0,4.0,1.0,12.0,0.95,0.9,378.0,10.0,13.0,8.0,0.0,0.53,1.0,0.0,0.0,0.0,0.71,225.0,1.0,221.0,10.0,669.0,0.0,151.0,1562.0,398.0,5784.0,8759.0,23974.0,4.0,1.0,1.0,93.0,180.0,30386.0,0.0,0.0,28.0,1.0,0.0,0.0,1.0,1.0,12.0,34.0,1.0,1.0,33565805.0,2123111.0,453.0,1.0,33.0,13.0,2.0,4.0,106.0,0.8,0.0,8513.0,142.0,1.0,12.0,1.0,4.0,0.0,332.0,0.0,1.0,0.0,575.287
125.0,470.0,0.0,582.0,708.0,3.14,0.7,97.0,1.0,133.0,240.0,0.0,84.0,117.0,6.0,5.0,6.0,13.0,0.74,0.3,209.0,4.0,9.0,5.0,0.0,0.99,0.0,0.0,1.0,0.0,0.66,426.0,0.0,535.0,10.0,322.0,0.0,406.0,1206.0,489.0,3365.0,4683.0,27362.0,8.0,4.0,1.0,67.0,121.0,27978.0,0.0,1.0,20.0,0.0,0.0,0.0,1.0,1.0,10.0,88.0,1.0,1.0,33582236.0,2109004.0,141.0,2.0,36.0,25.0,2.0,1.0,163.0,0.7,1.0,15285.0,198.0,1.0,3.0,0.0,6.0,0.0,418.0,0.0,1.0,1.0,445.489
373.0,391.0,0.5,774.0,719.0,2.31,0.95,103.0,1.0,241.0,92.0,1.0,106.0,57.0,12.0,3.0,5.0,15.0,0.87,0.22,381.0,3.0,27.0,3.0,0.0,0.64,0.0,1.0,0.0,1.0,0.69,331.0,0.0,949.0,8.0,989.0,0.0,347.0,1903.0,486.0,25364.0,18221.0,19612.0,6.0,3.0,1.0,127.0,51.0,23262.0,1.0,1.0,31.0,0.0,1.0,0.0,1.0,1.0,6.0,83.0,1.0,0.0,33560644.0,2107939.0,182.0,2.0,102.0,22.0,3.0,4.0,190.0,0.9,1.0,5727.0,159.0,1.0,18.0,1.0,4.0,1.0,267.0,0.0,0.0,0.0,558.411
